CODE LAT LON
BIKF N635905 W223620
EBAW N511121 E042737
EBBR N505404 E042904
EBLG N503810 E052633
EBOS N511155 E025144
EDDB N522143 E133002
EDDF N500159 E083414
EDDH N533748 E095917
EDDK N505157 E070834
EDDL N511651 E064526
EDDM N482114 E114710
EDDN N492954 E110440
EDDP N512526 E121410
EDDS N484123 E091319
EDDT N523334 E131716
EDDV N522737 E094100
EETN N592448 E244956
EFHK N601902 E245747
EHAM N521828 E044551
EHEH N512700 E052227
EHRD N515725 E042613
EKBI N554424 E090906
EKCH N553705 E123921
ELLX N493724 E061215
ENBR N601737 E051305
ENGM N601210 E110502
EPKK N500440 E194705
EPKT N502827 E190447
EPWA N520956 E205801
ESGG N573935 E121727
ESKN N584718 E165413
ESSA N593907 E175507
EVRA N565524 E235815
EYVI N543813 E251716
GCFV N282709 W135150
GCLP N275555 W152312
GCRR N285643 W133618
GCXO N282857 W162029
LCLK N345243 E333748
LEAL N381656 W003329
LEAM N365038 W022212
LEAS N433348 W060205
LEBB N431803 W025437
LEBL N411748 E020442
LEBZ N385329 W064916
LECO N431807 W082238
LEGE N415402 E024537
LEGR N371118 W034637
LEIB N385221 E012223
LEJR N364441 W060335
LELN N423519 W053922
LEMD N402819 W033338
LEMG N364029 W042956
LEMH N395145 E041307
LEPA N393305 E024420
LESO N432122 W014725
LEST N425346 W082455
LEVC N392922 W002854
LEVD N414222 W045106
LEVX N421345 W083739
LEXJ N432537 W034911
LEZL N372504 W055355
LFBD N444943 W004254
LFBT N431107 W000010
LFCK N433317 E021725
LFLL N454332 E050451
LFMD N433246 E065715
LFML N432611 E051253
LFMN N433954 E071253
LFOB N492716 E020646
LFPG N490035 E023251
LFPO N484324 E022246
LFQQ N503347 E030513
LFRN N480419 W014356
LFRS N470924 W013628
LFSB N473524 E073145
LFST N483230 E073803
LGAV N375611 E235640
LGIR N352022 E251049
LGKR N393607 E195443
LGMK N372613 E252049
LGSR N362356 E252844
LGTS N403110 E225814
LHBP N472621 E191543
LIBD N410816 E164554
LICJ N381054 E130558
LIEE N391449 E090321
LIEO N405354 E093104
LIMC N453748 E084323
LIME N454007 E094200
LIMF N451209 E073857
LIML N452657 E091642
LIPE N443151 E111748
LIPH N453902 E121152
LIPX N452346 E105316
LIPZ N453018 E122106
LIRF N414800 E121420
LIRN N405303 E141727
LIRP N434057 E102343
LIRQ N434830 E111209
LKPR N500603 E141535
LMML N355127 E142839
LOWW N480637 E163410
LPPR N411408 W084040
LPPT N384626 W090802
LSGG N461418 E060633
LSZG N471053 E072459
LSZH N472729 E083252
